—,World,continent,pop_2016,pop_2017,country_trim,
1,China,Asia,"1,403,500,365","1,409,517,397",China,
2,India,Asia,"1,324,171,354","1,339,180,127",India,
3,United States,Americas,"322,179,605","324,459,463",United States,
4,Indonesia,Asia,"261,115,456","263,991,379",Indonesia,
5,Brazil,Americas,"207,652,865","209,288,278",Brazil,
6,Pakistan,Asia,"193,203,476","197,015,955",Pakistan,
7,Nigeria,Africa,"185,989,640","190,886,311",Nigeria,
8,Bangladesh,Asia,"162,951,560","164,669,751",Bangladesh,
9,Russian Federation,Europe,"146,864,513","143,989,754",Russian Federation,
10,Mexico,Americas,"127,540,423","129,163,276",Mexico,
11,Japan,Asia,"127,748,513","127,484,450",Japan,
12,Ethiopia,Africa,"102,403,196","104,957,438",Ethiopia,
13,Philippines,Asia,"103,320,222","104,918,090",Philippines,
14,Egypt,Africa,"95,688,681","97,553,151",Egypt,
15,Vietnam,Asia,"94,569,072","95,540,800",Vietnam,no event
16,Germany,Europe,"81,914,672","82,114,224",Germany,
17,"Congo, the Democratic Republic of the",Africa,"78,736,153","81,339,988","Congo, the Democratic Republic of the",
18,"Iran, Islamic Republic of",Asia,"80,277,428","81,162,788","Iran, Islamic Republic of",
19,Turkey,Asia,"79,512,426","80,745,020",Turkey,
20,Thailand,Asia,"68,863,514","69,037,513",Thailand,
21,United Kingdom,Europe,"65,788,574","66,181,585",United Kingdom,
22,France,Europe,"64,720,690","64,979,548",France,
23,Italy,Europe,"59,429,938","59,359,900",Italy,
24,"Tanzania, United Republic of",Africa,"55,572,201","57,310,019","Tanzania, United Republic of",
25,South Africa,Africa,"56,015,473","56,717,156",South Africa,
26,Myanmar,Asia,"52,885,223","53,370,609",Myanmar,
27,"Korea, Republic of",Asia,"50,791,919","50,982,212","Korea, Republic of",
28,Colombia,Americas,"48,653,419","49,065,615",Colombia,
29,Kenya,Africa,"48,461,567","49,699,862",Kenya,
30,Spain,Europe,"46,347,576","46,354,321",Spain,
31,Argentina,Americas,"43,847,430","44,271,041",Argentina,
32,Ukraine,Europe,"44,438,625","44,222,947",Ukraine,no event
33,Uganda,Africa,"41,487,965","42,862,958",Uganda,
34,Algeria,Africa,"40,606,052","41,318,142",Algeria,
35,Sudan,Africa,"39,578,828","40,533,330",Sudan,
36,Iraq,Asia,"37,202,572","38,274,618",Iraq,
37,Poland,Europe,"38,224,410","38,170,712",Poland,
38,Canada,Americas,"36,289,822","36,624,199",Canada,
39,Morocco,Africa,"35,276,786","35,739,580",Morocco,
40,Afghanistan,Asia,"34,656,032","35,530,081",Afghanistan,
41,Saudi Arabia,Asia,"32,275,687","32,938,213",Saudi Arabia,
42,Peru,Americas,"31,773,839","32,165,485",Peru,
43,"Venezuela, Bolivarian Republic of",Americas,"31,568,179","31,977,065","Venezuela, Bolivarian Republic of",
44,Uzbekistan,Asia,"31,446,795","31,910,641",Uzbekistan,
45,Malaysia,Asia,"31,187,265","31,624,264",Malaysia,
46,Angola,Africa,"28,813,463","29,784,193",Angola,
47,Mozambique,Africa,"28,829,476","29,668,834",Mozambique,
